Country;Continent
Afghanistan;Asia
Andorra;Europe
Armenia;Asia
Austria;Europe
Azerbaijan;Asia
Belarus;Europe
Bhutan;Asia
Bolivia;Americas
Botswana;Africa
Burkina Faso;Africa
Burundi;Africa
Central African Republic;Africa
Chad;Africa
Czechia;Europe
eSwatini;Africa
Ethiopia;Africa
Hungary;Europe
Kazakhstan;Asia
Kyrgyzstan;Asia
Laos;Asia
Lesotho;Africa
Liechtenstein;Europe
Luxembourg;Europe
Macedonia;Europe
Malawi;Africa
Mali;Africa
Moldova;Europe
Mongolia;Asia
Nepal;Asia
Niger;Africa
Palestine;Asia
Paraguay;Americas
Rwanda;Africa
San Marino;Europe
Republic of Serbia;Europe
Slovakia;Europe
South Sudan;Africa
Switzerland;Europe
Tajikistan;Asia
Turkmenistan;Asia
Uganda;Africa
Uzbekistan;Asia
Vatican City;Europe
Zambia;Africa
Zimbabwe;Africa
